"id","13","0","5","14","12"

"### 翻译贡献者 / Translators"

"## TOH"
"#13 SChinese: fivefirex & ZeMing & OH233 &  2T & MC-AS-Huier & xiaojin & xyjx001& Tanakanira"

"## TOHE"
"#13 SChinese: KARPED1EM"
"#00 English: Tommy-XL (@Tommy-XL) & Tem (@mogekonik1) & Gurge44 & KARPED1EM & Gurge44"
"#05 Russian: Tommy-XL (@Tommy-XL) & Tem (@mogekonik1)"

"### If you want to translate the mod into other languages -"
"### Visit: https://crowdin.com/project/tohe"
"### Thank you very much for translating for us"

"### 生草作者你好呀！"
"### 其实一直想跟你道个谢，毕竟翻译是一件很累的事情"
"### 即便如此，你还是选择来支持我这个微不足道的小模组"
"### TOHE因你变得更好、变得更加强大啦"
"### 或许我们在未来的路上会经历许多坎坷，或许TOHE的昙花一现就此落幕"
"### 但感谢有你，感谢TOHE短暂的生命中的每一位过客"

"## 作者署名（会显示在右上角，不需要请留空）/ A sign of an author (Please leave blank when not needed)"
"TextBelowVersionText","","","","",""

"# 阵营 / Teams"
"TeamImpostor","内鬼阵营","Team Impostor","Команда Предателей","狼人陣營",""
"TeamNeutral","中立阵营","Neutral","Нейтрал","中立陣營",""
"TeamJackal","豺狼阵营","Team Jackal","Команда Шакалов","豺狼陣營",""
"TeamPelican","鹈鹕阵营","Team Pelican","Команда Пеликанов","鵜鶘陣營",""
"TeamGamer","玩家阵营","Team Demons","Команда Демонов","玩傢陣營",""

"## 个人竞技模式 / PVP"
"KB_Normal","挑战者","Challenger","Боец","挑戰者",""
"KB_NormalInfo","击败所有人！","Kill all of them!","Уничтожь их!","撃敗所有人！",""

"## 职业 / Roles"

"# 其它 / Other"
"GM","管理员","GM","GM (Призрак)","管理員",""

"# 隐藏 / Hidden"
"Sunnyboy","阳光开朗大男孩","Sunnyboy","Солнечный мальчик","陽光開朗大男孩",""
"Bard","吟游诗人","Bard","Бард","吟遊詩人",""

"# 原版职业 / Vanilla"
"Crewmate","船员","Crewmate","Член Экипажа","船員",""
"Engineer","工程师","Engineer","Инженер","工程師",""
"Scientist","科学家","Scientist","Ученый","科學家",""
"GuardianAngel","守护天使","Guardian Angel","Ангел-хранитель","守護天使",""
"Impostor","内鬼","Impostor","Предатель","内鬼",""
"Shapeshifter","变形者","Shapeshifter","Оборотень","變形者",""

"# 内鬼阵营 / Impostors"
"BountyHunter","赏金猎人","Bounty Hunter","Охотник за Головами","賞金獵人",""
"Mare","梦魇","Mare","Ночной","夢魘",""
"FireWorks","烟花商人","Fireworker","Фейерверк","煙火工匠",""
"SerialKiller","嗜血杀手","Serial Killer","Серийный Убийца","連環殺手",""
"ShapeMaster","千面鬼","Shape Master","Шпион","變形大師",""
"Vampire","吸血鬼","Vampire","Вампир","吸血鬼",""
"Warlock","术士","Warlock","Колдун","術士",""
"Assassin","刺客","Assassin","Ассасин","刺客",""
"Zombie","僵尸","Zombie","Зомби","僵屍",""
"Hacker","骇客","Hacker","Хакер","駭客",""
"Miner","矿工","Miner","Шахтер","礦工",""
"Minimalism","杀戮机器","Killing Machine","Машина для Убийств","殺戮機器",""
"Escapee","逃逸者","Escapist","Беглец","逃逸者",""
"Witch","女巫","Witch","Ведьма","女巫",""
"Mafia","黑手党","Mafia","Мафия","黑手黨",""
"Puppeteer","傀儡师","Puppeteer","Кукловод","傀儡師",""
"TimeThief","蚀时者","Time Thief","Вор Времени","蝕時者",""
"Sniper","狙击手","Sniper","Снайпер","狙擊手",""
"EvilTracker","追踪者","Evil Tracker","Злой Трекер","追踪者",""
"EvilGuesser","邪恶赌怪","Evil Guesser","Злой Угадыватель","邪惡賭怪",""
"AntiAdminer","监管者","Anti Adminer","Анти Админер","監管者",""
"Sans","狂妄杀手","Arrogance","Высокомер","狂妄殺手",""
"Bomber","自爆兵","Bomber","Бомбер","自爆兵",""
"Scavenger","清道夫","Scavenger","Уборщик","清道夫",""
"BoobyTrap","诡雷","Booby Trap","Мина Ловушка","詭雷",""
"Capitalism","资本家","Capitalist","Капиталист","資本傢",""
"Gangster","教父","Gangster","Гангстер","教父",""
"Cleaner","清理工","Cleaner","Очиститель","清理工",""
"Messenger","情报贩子","Informant","Информатор","情報販子",""
"BallLightning","球状闪电","Lightning","Молния","球狀閃電",""
"Greedier","贪婪者","Greedy","Жадина","貪婪者",""
"CursedWolf","呪狼","Cursed Wolf","Проклятый Волк","呪狼",""
"ImperiusCurse","夺魂者","Soul Catcher","Ловец Душ","奪魂者",""
"QuickShooter","快枪手","Quick Shooter","Стрелок","快槍手",""
"Concealer","隐蔽者","Concealer","Консилер","隱蔽者",""
"Eraser","抹除者","Eraser","Стирачка","抹除者",""
"OverKiller","肢解者","Butcher","Мясник","肢解者",""

"# 船员阵营 / Crewmates"
"Hangman","刽子手","Hangman","Вешатель","劊子手",""
"Bait","诱饵","Bait","Байт","誘餌",""
"Luckey","幸运儿","Luckey","Удачник","幸運兒",""
"Needy","摆烂人","Lazy Guy","Ленивый Парень","擺爛人",""
"SuperStar","大明星","Super Star","Супер Звезда","大明星",""
"CyberStar","网红","Celebrity","Знаменитость","網紅",""
"SwordsMan","侠客","Knight","Рыцарь","俠客",""
"Mayor","市长","Mayor","Мэр","市長",""
"Paranoia","被害妄想症","Paranoid","Параноик","被害妄想症",""
"Psychic","愚者","Psychic","Экстрасенс","愚者",""
"SabotageMaster","修理工","Repairman","Ремонтник","修理工",""
"Sheriff","警长","Sheriff","Шериф","警长",""
"Snitch","告密者","Snitch","Стукач","告密者",""
"SpeedBooster","增速者","Speed Booster","Ускоритель","增速者",""
"Doctor","法医","Doctor","Доктор","法医",""
"Trapper","陷阱师","Beartrap","Капкан","陷阱师",""
"Dictator","独裁者","Dictator","Диктатор","独裁者",""
"Detective","侦探","Detective","Детектив","侦探",""
"NiceGuesser","正义赌怪","Nice Guesser","Добрый Угадыватель","正义赌怪",""
"Transporter","传送师","Transporter","Транспортер","传送师",""
"TimeManager","时间操控者","Time Manager","Мастер Времени","时间操控者",""
"Veteran","老兵","Veteran","Ветеран","老兵",""
"Bodyguard","保镖","Bodyguard","Телохранитель","保镖",""
"Counterfeiter","赝品商","Deceiver","Обманщик","赝品商",""
"Grenadier","掷雷兵","Grenadier","Гренадёр","掷雷兵",""
"Medicaler","医生","Medic","Медик","医生",""
"Divinator","占卜师","Fortune Teller","Гадалка","占卜师",""
"Glitch","活死人","The Glitch","Ошибка","活死人",""
"Judge","法官","Judge","Судья","法官",""
"Mortician","入殓师","Mortician","Гробовщик","入殓师",""
"Mediumshiper","通灵师","Medium","Медиум","通灵师",""

"# 中立阵营 / Neutrals"
"Jester","小丑","Jester","Шут","小丑",""
"Arsonist","纵火犯","Arsonist","Поджигатель","纵火犯",""
"Terrorist","恐怖分子","Terrorist","Террорист","恐怖分子",""
"Executioner","处刑人","Executioner","Палач","处刑人",""
"Opportunist","投机者","Opportunist","Выживший","投机者",""
"Mario","马里奥","Mario","Марио","马里奥",""
"Jackal","豺狼","Jackal","Шакал","豺狼",""
"God","神","God","Дьявол","神",""
"Innocent","冤罪师","Innocent","Обвинитель","冤罪师",""
"Pelican","鹈鹕","Pelican","Пеликан","鹈鹕",""
"Revolutionist","革命家","Revolutionist","Революционер","革命家",""
"FFF","FFF团","Hater","Бессердечник","FFF团",""
"Konan","柯南","Konan","Конан","柯南",""
"Gamer","玩家","Demon","Демон","玩家",""
"DarkHide","潜藏者","Stalker","Сталкер","潜藏者",""
"Workaholic","工作狂","Workaholic","Трудоголик","工作狂",""
"Collector","集票者","Collector","Коллектор","集票者",""
"Provocateur","自爆卡车","Provocateur","Провокатор","自爆卡车",""

"# 附加职业 / Add-ons"
"LastImpostor","绝境者","Last Impostor","Последний Предатель","绝境者",""
"Lovers","恋人","Lovers","Любовники","恋人",""
"Madmate","叛徒","Madmate","Безумец","叛徒",""
"Ntr","海王","Neptune","Нептун","海王",""
